Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
PUT,/_matrix/client/v3/profile/_/displayname,7,7,69,68.57142857142857,67,69,19.0,0.1623302364036552,0.1623302364036552,69,69,69,69,69,69,69,69,69,69,69
GET,/_matrix/client/v3/sync,83,66,1500,4188.819277108434,347,16587,6648.963855421687,1.9247728030719116,1.530542228948749,1500,4500,6600,8600,13000,15000,17000,17000,17000,17000,17000
,Aggregated,90,73,890,3868.3555555555554,67,16587,6133.3,2.0871030394755667,1.692872465352404,1500,4200,6400,8600,13000,15000,17000,17000,17000,17000,17000
